Date,Open,High,Low,Close,Adj Close,Volume
2018-08-31,0.717500,0.738200,0.693300,0.709900,0.709900,12266766
2018-09-01,0.709900,0.760300,0.706200,0.740700,0.740700,12278911
2018-09-02,0.740700,0.743900,0.699300,0.718500,0.718500,9527588
2018-09-03,0.718500,0.731100,0.676000,0.699300,0.699300,8637815
2018-09-04,0.699300,0.744800,0.688200,0.701200,0.701200,9743809
2018-09-05,0.701200,0.716800,0.565000,0.579400,0.579400,20469573
2018-09-06,0.579400,0.606900,0.530000,0.601100,0.601100,15627261
2018-09-07,0.601100,0.617000,0.551200,0.563000,0.563000,9544911
2018-09-08,0.563000,0.591000,0.516000,0.530000,0.530000,7807654
2018-09-09,0.530000,0.585000,0.511700,0.556400,0.556400,8618360
2018-09-10,0.556400,0.599900,0.553000,0.574600,0.574600,7242666
2018-09-11,0.574600,0.583000,0.523000,0.545300,0.545300,8384837
2018-09-12,0.545300,0.557200,0.500000,0.548600,0.548600,9830516
2018-09-13,0.548600,0.606700,0.548400,0.575400,0.575400,10728705
2018-09-14,0.575400,0.617500,0.551600,0.571000,0.571000,9829846
2018-09-15,0.571000,0.591900,0.556500,0.569100,0.569100,4618306
2018-09-16,0.569100,0.584900,0.553700,0.578500,0.578500,4064577
2018-09-17,0.578500,0.589000,0.525800,0.533100,0.533100,7937847
2018-09-18,0.533100,0.548000,0.496400,0.533400,0.533400,13602543
2018-09-19,0.533400,0.543900,0.504600,0.530400,0.530400,7805887
2018-09-20,0.530400,0.582300,0.523500,0.565800,0.565800,6015098
2018-09-21,0.565800,0.634600,0.556600,0.628700,0.628700,13881076
2018-09-22,0.628700,0.649800,0.573300,0.608100,0.608100,9967889
2018-09-23,0.608100,0.634000,0.596100,0.610400,0.610400,5252892
2018-09-24,0.610400,0.614500,0.531200,0.559700,0.559700,18595596
2018-09-25,0.560800,0.574400,0.525500,0.569900,0.569900,9889643
2018-09-26,0.569900,0.578100,0.545100,0.546600,0.546600,4596919
2018-09-27,0.546600,0.599900,0.532500,0.585300,0.585300,8797991
2018-09-28,0.585300,0.597000,0.556800,0.573300,0.573300,6192237
2018-09-29,0.573300,0.574700,0.551000,0.563100,0.563100,2768815
2018-09-30,0.563100,0.577400,0.556600,0.568000,0.568000,3554790
2018-10-01,0.568000,0.584700,0.540900,0.561400,0.561400,5349400
2018-10-02,0.561400,0.571200,0.550000,0.560300,0.560300,2903340
2018-10-03,0.560300,0.560600,0.542000,0.554000,0.554000,3113696
2018-10-04,0.554000,0.578100,0.551800,0.557200,0.557200,3800856
2018-10-05,0.557200,0.590000,0.552800,0.576500,0.576500,3136076
2018-10-06,0.576500,0.581300,0.560000,0.566000,0.566000,1947480
2018-10-07,0.566000,0.578800,0.558000,0.575700,0.575700,1628281
2018-10-08,0.575700,0.610000,0.572500,0.603500,0.603500,5817927
2018-10-09,0.603500,0.608800,0.585000,0.592900,0.592900,4171108
2018-10-10,0.592900,0.596800,0.570000,0.588300,0.588300,3910421
2018-10-11,0.588300,0.588300,0.470700,0.481200,0.481200,16912519
2018-10-12,0.481200,0.512000,0.474600,0.490500,0.490500,3243486
2018-10-13,0.490500,0.510000,0.489200,0.495100,0.495100,1737885
2018-10-14,0.495100,0.509900,0.485900,0.490000,0.490000,1876576
2018-10-15,0.490000,0.560000,0.481700,0.513400,0.513400,11311022
2018-10-16,0.513400,0.519700,0.505100,0.514400,0.514400,1565457
2018-10-17,0.514400,0.531900,0.509400,0.523900,0.523900,2291925
2018-10-18,0.523900,0.536700,0.497500,0.502100,0.502100,3516075
2018-10-19,0.502100,0.506500,0.490400,0.494700,0.494700,1829349
2018-10-20,0.494700,0.513700,0.494700,0.504600,0.504600,2012361
2018-10-21,0.504600,0.514000,0.500500,0.500500,0.500500,1275506
2018-10-22,0.500500,0.508100,0.491500,0.497600,0.497600,1395291
2018-10-23,0.497600,0.507000,0.491400,0.499800,0.499800,1749070
